Gender,Age,Academic Stream,Educational Qualification ,Marital Status,Locality,Occupation,Annual Income,"Have you ever experienced any mental health issue?(even if you faced for a short period, tick yes)","In your life, which element has affected your mental health?", [Feeling sad most of the time], [Experienced low self-esteem], [You are willing to do the activities you usually enjoy], [Significant difficulty to fall asleep], [Problems with your work or daily life due to your physical health], [Feeling of giving up], [Relations with others affect your mental health], [Feeling anxious or discomfort around others], [Social media affect your mental health], [Your eating habits were altered in any way],How much time do you spend on social media?,Do you consume any sort of alcohol or smoke?,Tick the major life event which has affected your mental health.,Which of the following mental health disorders do you have or have experienced in the past?,What measures did you take to improve your mental health?,Felt improvement in your mental health after the measures you took.,"Do you have any counsellors in your school, college or surrounding?",Your personal opinion on Mental Health.
Female,20,Science,HSC (12th std),Unmarried,Thane,Student,Below 1 lakh,Yes,"Emotional, Physical, Social, Major life event",Extremely,Moderately,Moderately,Never,Extremely,Extremely,Strongly agree,Strongly agree,Strongly agree,Strongly agree,4-5 hrs,No,"Death of family member or friend, Financial worries","Depression, Anxiety disorders","Meditation, Yoga, Talk about your feelings, Tried going out for nature campaigns, Take a break from daily routine",Maybe,No,Metal health is extremely important  i live a happy healthy life and it should be well cared for. Often mental health is neglected and it leads to various issues. The stigma around mental health needs to be eradicated and people should be allowed to talk about these issues freely. 
Male,32,Science,Post Graduation,Married,Thakurli,Employed,3-5 lakhs,Yes,Social,Moderately,Moderately,Extremely,Extremely,Extremely,Extremely,Agree,Agree,Agree,Agree,3-4 Hours,No,"Forced separation from family members, An accident or long term injury",Depression,Self Motivation,Yes,No,Neglected Topic by Many
Female,21,Science,Post Graduation,Unmarried,Thane,Student,10 and above,Yes,Emotional,Moderately,A little,A little,Never,A little,Never,Agree,Neutral,Neutral,Agree,2 hrs,No,"Death of family member or friend, An accident or long term injury",Depression,"Meditation, Yoga, Talk about your feelings",Yes,Yes,
Male,20,Science,HSC (12th std),Unmarried,Thane,Student,8-10 lakhs,No,,,,,,,,,,,,,,,,,,,
Male,22,Commerce,Post Graduation,Unmarried,Thane,Student,5-8 lakhs,No,,,,,,,,,,,,,,,,,,,
Male,20,Commerce,Graduation,Unmarried,Thane,Student,3-5 lakhs,No,,,,,,,,,,,,,,,,,,,
Male,20,Science,Graduation,Unmarried,Dombivli,Student,Below 1 lakh,No,,,,,,,,,,,,,,,,,,,
Female,20,Commerce,HSC (12th std),Unmarried,Thane,Student,Below 1 lakh,No,,,,,,,,,,,,,,,,,,,
Female,33,Arts,Post Graduation,Married,"Hubli district, state karnataka ",Unemployed,5-8 lakhs,No,,,,,,,,,,,,,,,,,,,
Female,19,Commerce,Graduation,Unmarried,Thane,Student,Below 1 lakh,Yes,Emotional,Never,A little,Moderately,Never,Never,Never,Agree,Strongly disagree,Strongly disagree,Agree,A lot,No,None of the above,Anxiety disorders,"Meditation, Yoga, Talk about your feelings, Tried going out for nature campaigns, Take a break from daily routine",Yes,No,
Female,20,Science,Graduation,Unmarried,Mumbai Suburban,Student,8-10 lakhs,No,,,,,,,,,,,,,,,,,,,
Male,21,Science,Graduation,Unmarried,Mumbai city,Student,Below 1 lakh,Yes,"Emotional, Physical, Social",A little,A little,Extremely,Never,Never,Never,Agree,Neutral,Neutral,Strongly disagree,4 hr ,No,Relationship with people,Depression,"Meditation, Talk about your feelings, Take a break from daily routine",Maybe,No,Its really important to take care if mental health 
Female,17,Commerce,HSC (12th std),Unmarried,Thane,Student,5-8 lakhs,Yes,Emotional,Moderately,A little,A lot,Moderately,A little,Never,Agree,Disagree,Disagree,Disagree,1 hour,No,Death of family member or friend,Depression,Meditation,No,No,
Male,20,Bms,HSC (12th std),Unmarried,Thane,Student,Below 1 lakh,No,,,,,,,,,,,,,,,,,,,
Female,19,Commerce,Post Graduation,Unmarried,Thane,Student,Below 1 lakh,Yes,Physical,Moderately,Moderately,Moderately,Extremely,A lot,Moderately,Strongly agree,Strongly agree,Strongly agree,Neutral,6 hrs,No,None of the above,Depression,Take a break from daily routine,Maybe,No,
Female,20,Science,Diploma,Unmarried,Thane,Student,Below 1 lakh,No,,,,,,,,,,,,,,,,,,,
Male,20,Science,Graduation,Unmarried,Rural,Student,8-10 lakhs,Yes,"Emotional, Social",Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Strongly agree,Strongly agree,Strongly agree,Strongly agree,4-5h,Yes,"Financial worries, An accident or long term injury, Loss of job","Depression, Anxiety disorders",Take a break from daily routine,No,Yes,
Male,19,Science,Graduation,Unmarried,Mumbai city,Student,Below 1 lakh,Yes,Emotional,Moderately,Moderately,Moderately,A lot,A lot,A lot,Neutral,Agree,Agree,Agree,3 hours,No,"Death of family member or friend, An accident or long term injury",Anxiety disorders,"Meditation, Talk about your feelings, Take a break from daily routine",Yes,No,
Female,43,Arts,Graduation,Married,UK,Employed,10 and above,No,,,,,,,,,,,,,,,,,,,
Male,34,Working,Diploma,Married,Bangalore,Employed,5-8 lakhs,No,,,,,,,,,,,,,,,,,,,
Male,21,Engineering,Graduation,Unmarried,Karad,Student,Below 1 lakh,No,,,,,,,,,,,,,,,,,,,
Male,21,Science,Graduation,Unmarried,Thane,Student,Below 1 lakh,No,,,,,,,,,,,,,,,,,,,
Female,20,Science,Graduation,Unmarried,Dombivali ,Student,Below 1 lakh,Yes,Emotional,Moderately,Moderately,Moderately,Moderately,Moderately,Moderately,Neutral,Neutral,Neutral,Neutral,All time,No,Financial worries,Anxiety disorders,Take a break from daily routine,No,No,Be good to others. Everyone is struggling in their own way
Male,53,None,Below SSC,Married,Thane,Employed,5-8 lakhs,Yes,Emotional,Never,Never,Never,A little,Never,Never,Disagree,Disagree,Disagree,Agree,2,No,None of the above,"Anxiety disorders, Eating disorders","Talk about your feelings, Tried going out for nature campaigns, Take a break from daily routine",Yes,No,Don't let anyone down and down let anyone affect you. Be on your own.
Male,22,Science,Graduation,Unmarried,Navi Mumbai,Employed,3-5 lakhs,No,,,,,,,,,,,,,,,,,,,
Male,70,Science,Graduation,Married,Bagalkot,Retired,1-3 lakhs,No,,,,,,,,,,,,,,,,,,,
Male,39,Science,Post Graduation,Married,PUNE,Employed,5-8 lakhs,No,,,,,,,,,,,,,,,,,,,
Female,20,Commerce,Graduation,Unmarried,Thane,Student,Below 1 lakh,Yes,Major life event,Moderately,Moderately,Moderately,Moderately,Moderately,Moderately,Agree,Agree,Agree,Agree,3-5hrs,No,None of the above,Anxiety disorders,.. ,Maybe,No,
Female,27,Science,Graduation,Married,Karad,Unemployed,10 and above,No,,,,,,,,,,,,,,,,,,,
Male,20,Science,Graduation,Unmarried,Dombivli ,Student,Below 1 lakh,No,,,,,,,,,,,,,,,,,,,
Male,18,Science,HSC (12th std),Unmarried,Thane,Student,Below 1 lakh,No,,,,,,,,,,,,,,,,,,,
Female,20,Computer engineering ,Diploma,Unmarried,Mumbai city,Student,10 and above,Yes,"Emotional, Social",Never,Never,Extremely,A little,A little,Never,Disagree,Disagree,Neutral,Disagree,Hardly half nd hour ,No,None of the above,Eating disorders,"Talk about your feelings, Tried going out for nature campaigns, Take a break from daily routine",Yes,No,Mental health is important because it's a vital part of our life and impacts our behavior nd emotions 
Female,40,Arts,PHD,Married,Uk,Employed,10 and above,No,,,,,,,,,,,,,,,,,,,
Female,20,Science,Graduation,Unmarried,Thane,Student,1-3 lakhs,Yes,Emotional,A little,Moderately,Moderately,A lot,Never,Never,Agree,Neutral,Agree,Agree,Infinity ,No,Death of family member or friend,Anxiety disorders,Meditation,Yes,No,
Female,19,Commerce,HSC (12th std),Unmarried,Alibaug City,Student,Below 1 lakh,Yes,Emotional,Moderately,A little,Moderately,A little,Never,Moderately,Strongly agree,Neutral,Agree,Neutral,3 hours,No,"Death of family member or friend, Financial worries","Depression, Anxiety disorders","Talk about your feelings, Take a break from daily routine",Maybe,No,
Female,20,Science,Graduation,Unmarried,Karad,Student,Below 1 lakh,No,,,,,,,,,,,,,,,,,,,
Male,21,Science,Graduation,Unmarried,Dombivli,Student,Below 1 lakh,Yes,Emotional,A little,A little,Moderately,Never,Never,Never,Disagree,Neutral,Disagree,Neutral,80mins,No,None of the above,Depression,"Take a break from daily routine, Music ",Yes,No,
Female,20,Science,HSC (12th std),Unmarried,Thane,Student,Below 1 lakh,Yes,"Emotional, Social",A little,A little,A lot,A little,Moderately,Never,Agree,Agree,Neutral,Disagree,Around 4-5 hrs,No,None of the above,Anxiety disorders,Talk about your feelings,Yes,Yes,
Female,32,Science,Post Graduation,Married,Mumbai city,Employed,1-3 lakhs,No,,,,,,,,,,,,,,,,,,,
Female,20,Science,Graduation,Unmarried,Mumbai city,Student,8-10 lakhs,Yes,"Emotional, Physical, Social",A little,A little,A lot,A little,Moderately,Never,Agree,Disagree,Agree,Agree,2 to 3hrs,No,None of the above,Depression,"Meditation, Yoga, Take a break from daily routine",Yes,No,
Male,20,Science,Graduation,Unmarried,Dombivli ,Student,Below 1 lakh,No,,,,,,,,,,,,,,,,,,,
Female,35,Commerce,Graduation,Married,Thane,Employed,1-3 lakhs,No,,,,,,,,,,,,,,,,,,,
Male,20,Science,Graduation,Unmarried,Thane,Student,5-8 lakhs,No,,,,,,,,,,,,,,,,,,,
Male,21,Science,Graduation,Unmarried,Mumbai Suburban,Student,5-8 lakhs,Yes,Emotional,A lot,Moderately,A little,A little,Moderately,A lot,Strongly agree,Strongly agree,Agree,Neutral,1 hour,No,None of the above,"Depression, Anxiety disorders","Talk about your feelings, Take a break from daily routine",Maybe,No,
Female,20,Science,Graduation,Unmarried,Thane,Student,Below 1 lakh,No,,,,,,,,,,,,,,,,,,,
Female,20,Commerce,Graduation,Unmarried,Thane,Student,Below 1 lakh,No,,,,,,,,,,,,,,,,,,,
Female,20,Commerce,HSC (12th std),Unmarried,Thane,Student,Below 1 lakh,Yes,"Physical, Social",A little,A little,A lot,Moderately,A little,Moderately,Agree,Agree,Strongly agree,Strongly agree,2 hours,No,Death of family member or friend,Anxiety disorders,"Meditation, Yoga, Talk about your feelings",Maybe,No,
Male,20,Science,Graduation,Unmarried,Dombivali,Student,5-8 lakhs,No,,,,,,,,,,,,,,,,,,,
Male,25,Hospitality Operations and Management,Graduation,Unmarried,Navi Mumbai,Unemployed,Below 1 lakh,No,,,,,,,,,,,,,,,,,,,
Female,35,Science,Post Graduation,Married,Bangalore ,Employed,10 and above,Yes,"Emotional, Social, Major life event",A lot,A lot,A lot,Never,A little,Never,Strongly agree,Agree,Neutral,Neutral,3 hours ,No,"Death of family member or friend, Financial worries","Depression, Anxiety disorders","Tried going out for nature campaigns, Take a break from daily routine",Yes,No,
Female,20,Commerce,HSC (12th std),Unmarried,Thane,Student,Below 1 lakh,No,,,,,,,,,,,,,,,,,,,
Female,49,Arts,Graduation,Married,Mumbai Suburban,Unemployed,3-5 lakhs,No,,,,,,,,,,,,,,,,,,,
Female,22,Science,Post Graduation,Unmarried,Mumbai city,Employed,Below 1 lakh,No,,,,,,,,,,,,,,,,,,,
Female,21,Science,HSC (12th std),Unmarried,Thane,Student,1-3 lakhs,Yes,"Emotional, Physical, Social",Extremely,Extremely,A little,Moderately,Extremely,Never,Agree,Strongly agree,Strongly disagree,Strongly agree,6-7 hours,No,None of the above,"Depression, Anxiety disorders, Eating disorders","Visited Psychologists/ consultant/ therapist, Prescribed medication by Psychiatrist, Meditation, Yoga, Talk about your feelings, Take a break from daily routine",Yes,No,It is very important to understand the importance of mental health. And always be in check of what you are feeling and when you are feeling emotional stress. If you need to talk to some one don't be shy please take help.
Female,20,Science,HSC (12th std),Unmarried,Thane,Student,8-10 lakhs,Yes,Emotional,A little,Never,A lot,Never,Never,A little,Strongly agree,Neutral,Agree,Agree,3 to 4 hours,No,None of the above,Anxiety disorders,"Yoga, Take a break from daily routine",Yes,Yes,You need to take care of yourself no matter what and if you need any help you should feel free to ask for it. 
Female,22,Science,Graduation,Married,Mumbai Suburban,Unemployed,Below 1 lakh,No,,,,,,,,,,,,,,,,,,,
Male,20,Science,HSC (12th std),Unmarried,Thane,Student,Below 1 lakh,No,,,,,,,,,,,,,,,,,,,
Female,17,Commerce,HSC (12th std),Unmarried,Thane,Student,5-8 lakhs,Yes,Emotional,A lot,Moderately,A lot,A little,Never,Moderately,Agree,Strongly disagree,Disagree,Strongly disagree,2 hours,No,Death of family member or friend,Depression,"Meditation, Yoga, Talk about your feelings",Maybe,No,
Male,20,Science,Graduation,Unmarried,Thane,Student,8-10 lakhs,No,,,,,,,,,,,,,,,,,,,
Male,25,Science,Post Graduation,Unmarried,Germany,Student,Below 1 lakh,No,,,,,,,,,,,,,,,,,,,
Male,21,Commerce,Graduation,Unmarried,Mumbai Suburban,Student,Below 1 lakh,Yes,"Emotional, Physical, Social",A little,A little,Extremely,Never,Never,Moderately,Disagree,Neutral,Strongly disagree,Agree,2-3 hours a day,Yes,Financial worries,Anxiety disorders,Talk about your feelings,Maybe,Yes,
Female,19,Science,HSC (12th std),Unmarried,Thane,Student,Below 1 lakh,Yes,"Emotional, Physical, Social",A little,A little,Never,A little,Moderately,Moderately,Neutral,Neutral,Neutral,Neutral,3 hours,No,Lack of comprehension ,"Depression, Eating disorders",Take a break from daily routine,Maybe,No,Mental health has been looked upon by the Indian society as a disgeace to the family or near ones. This should be made aware of that it is not a shame to battle things like depression. Parents should be more friendly to their kids. Society needs to understand Mental Health always takes a toll and is not a joke.  
Female,19,Science,HSC (12th std),Unmarried,Thane,Student,5-8 lakhs,Yes,Emotional,Moderately,A little,Extremely,A little,A little,Never,Agree,Neutral,Strongly agree,Neutral,Most of the time of my day,No,None of the above,Depression,"Yoga, Take a break from daily routine",Yes,No, Love yourself. Prioritize yourself. Take care of yourself and Focus on yourself. You glow from within and attract the same energy back.
Female,49,Commerce,Graduation,Married,Ahmednagar,Unemployed,Below 1 lakh,No,,,,,,,,,,,,,,,,,,,
Female,49,Commerce,Graduation,Married,Ahmednagar,Unemployed,Below 1 lakh,No,,,,,,,,,,,,,,,,,,,
Male,53 years.,Science,Graduation,Married,Ahmednagar.,Retired,5-8 lakhs,No,,,,,,,,,,,,,,,,,,,
Female,28,Science,Post Graduation,Married,Pune,Employed,1-3 lakhs,No,,,,,,,,,,,,,,,,,,,
Male,20,Science,Graduation,Unmarried,Thane,Student,3-5 lakhs,No,,,,,,,,,,,,,,,,,,,
Male,24,Science,Post Graduation,Unmarried,Germany,Student,3-5 lakhs,Yes,"Social, Major life event",A little,Never,Extremely,Never,Never,Never,Strongly disagree,Neutral,Neutral,Agree,3hrs/day,No,Financial worries,"Anxiety disorders, Eating disorders","Meditation, Talk about your feelings, Tried going out for nature campaigns, Take a break from daily routine",Yes,Yes,
Female,29,Commerce,Graduation,Married,Navi Mumbai,Employed,1-3 lakhs,No,,,,,,,,,,,,,,,,,,,
Female,18,Science,HSC (12th std),Unmarried,Thane,Student,1-3 lakhs,Yes,"Emotional, Physical",Moderately,Moderately,Moderately,Never,A little,A little,Neutral,Agree,Neutral,Disagree,2 hour,No,None of the above,Anxiety disorders,I write down my feelings,Maybe,Yes,
Female,46,Commerce,HSC (12th std),Married,Dombivli ,Unemployed,1-3 lakhs,No,,,,,,,,,,,,,,,,,,,
Female,35,Commerce,Diploma,Married,Mumbai city,Retired,Below 1 lakh,Yes,"Emotional, Physical",A little,A little,Moderately,Never,A little,Moderately,Strongly agree,Disagree,Strongly agree,Strongly agree,All over time ,No,None of the above,Depression,"Meditation, Yoga, Talk about your feelings, Tried going out for nature campaigns",Maybe,No,Depression 
Female,46,Arts,Graduation,Married,Mumbai city,Unemployed,10 and above,No,,,,,,,,,,,,,,,,,,,
Female,25,Commerce,Graduation,Married,Nagar,Employed,1-3 lakhs,Yes,Emotional,A little,Never,Never,Never,Moderately,Never,Strongly disagree,Disagree,Strongly disagree,Neutral,3hr,No,"Forced separation from family members, None of the above",Eating disorders,"Yoga, Talk about your feelings, Tried going out for nature campaigns",Maybe,Yes,
Male,20,Commerce,Graduation,Unmarried,Thane,Student,1-3 lakhs,Yes,Emotional,A little,Never,Extremely,Never,Never,Never,Disagree,Agree,Strongly disagree,Strongly disagree,1 hour- approximately,No,None of the above,Sadness,Take a break from daily routine,Yes,Yes,"Think wisely, act wisely on all matters. It affects your mental health. Thank you."
Male,20,Arts,Graduation,Unmarried,Thane,Student,1-3 lakhs,Yes,Emotional,A little,Moderately,Extremely,Never,Never,A little,Agree,Strongly agree,Strongly agree,Neutral,5 to 6 hours,No,None of the above,Anxiety disorders,"Meditation, Yoga, Take a break from daily routine",Maybe,No,
Female,20,Commerce,Graduation,Unmarried,Thane,Student,3-5 lakhs,No,,,,,,,,,,,,,,,,,,,
Female,30,Commerce,Post Graduation,Married,Mumbai Suburban,Employed,5-8 lakhs,Yes,"Emotional, Major life event",A little,A little,A lot,Moderately,Moderately,A little,Agree,Neutral,Agree,Agree,2-3hrs,No,None of the above,Depression,"Talk about your feelings, Take a break from daily routine",Yes,No,Mental health is a very sensitive thing. The more we think about it more it worsens so try to relax and sometimes allow our mind to flow according to the wind.
Female,43,Arts,Below SSC,Married,Thane,Employed,Below 1 lakh,No,,,,,,,,,,,,,,,,,,,
Male,47,Science,Post Graduation,Married,Pune,Employed,10 and above,No,,,,,,,,,,,,,,,,,,,
Female,21,Arts,HSC (12th std),Unmarried,Thane,Student,Below 1 lakh,No,,,,,,,,,,,,,,,,,,,
Male,20,Commerce,Graduation,Unmarried,Mumbai Suburban,Student,Below 1 lakh,Yes,"Emotional, Physical, Social",Moderately,Moderately,A lot,A little,Never,Moderately,Agree,Disagree,Agree,Strongly agree,4 hr,No,None of the above,Anxiety disorders,"Talk about your feelings, Tried going out for nature campaigns, Take a break from daily routine",Maybe,No,
Female,18,Commerce,Graduation,Unmarried,Thane,Student,3-5 lakhs,No,,,,,,,,,,,,,,,,,,,
Female,20,Commerce,Graduation,Unmarried,Thane,Student,Below 1 lakh,No,,,,,,,,,,,,,,,,,,,
Female,19,Science,Graduation,Unmarried,Mumbai city,Student,10 and above,Yes,Emotional,Moderately,A little,A little,Never,Moderately,A lot,Strongly agree,Agree,Neutral,Neutral,Quite  a time. ,Yes,Death of family member or friend,Depression,Take a break from daily routine,Maybe,Yes,Just try to stay happy all the time at least in front of others. Or else talk to someone known or unknown person just light the burden. Depression is scary. Take care of yourself and love yourself. 
Male,21,Science,Post Graduation,Unmarried,Mumbai Suburban,Student,1-3 lakhs,No,,,,,,,,,,,,,,,,,,,
Female,19,Science,Graduation,Unmarried,Thane,Student,1-3 lakhs,Yes,Emotional,Extremely,Extremely,Moderately,A little,A little,A lot,Strongly agree,Strongly agree,Agree,Agree,5-6 hours,No,Financial worries,"Depression, Anxiety disorders","Meditation, Take a break from daily routine",Maybe,No,
Female,20,Commerce,Graduation,Unmarried,Mumbai city,Student,Below 1 lakh,No,,,,,,,,,,,,,,,,,,,
Male,20,Commerce,Graduation,Unmarried,Dharwad,Student,Below 1 lakh,No,,,,,,,,,,,,,,,,,,,
Male,19,Commerce,HSC (12th std),Unmarried,Thane,Student,Below 1 lakh,No,,,,,,,,,,,,,,,,,,,
Male,20,Science,HSC (12th std),Unmarried,Mumbai Suburban,Student,Below 1 lakh,No,,,,,,,,,,,,,,,,,,,
Male,20,Computer Engineering,HSC (12th std),Unmarried,Navi Mumbai,Student,Below 1 lakh,No,,,,,,,,,,,,,,,,,,,
Female,22,Science,Graduation,Unmarried,Mumbai Suburban,Student,Below 1 lakh,Yes,"Emotional, Physical, Social, Major life event, Substance use (any kind of addiction)",A little,Moderately,A lot,A little,Never,Never,Strongly agree,Neutral,Neutral,Agree,5 +hrs,No,None of the above,"Depression, Anxiety disorders, Eating disorders","Visited Psychologists/ consultant/ therapist, Prescribed medication by Psychiatrist, Talk about your feelings, Take a break from daily routine",Maybe,No,"I feel that anxiety, depression and anger management issues should be made aware to students in a very young age the therapy and other treatments should be made known to one in a very early age so that we know how to deal with it and help others dealing with that in kindness and humanity. These are modern problems but people need to stop pretending as if it doesn't exist and it's all in our head therefore awareness is very very important. "
Female,17,Science,HSC (12th std),Unmarried,Pune,Student,Below 1 lakh,No,,,,,,,,,,,,,,,,,,,
Female,26,Commerce,Graduation,Unmarried,Mumbai city,Employed,3-5 lakhs,No,,,,,,,,,,,,,,,,,,,
Female,44,Science,Post Graduation,Married,Pune,Employed,5-8 lakhs,No,,,,,,,,,,,,,,,,,,,
Female,56,Arts,Graduation,Married,Thane,Unemployed,Below 1 lakh,No,,,,,,,,,,,,,,,,,,,
Female,20,Science,Graduation,Unmarried,Mumbai city,Student,Below 1 lakh,Yes,"Emotional, Social, Major life event",A little,A little,Moderately,A little,Moderately,Never,Neutral,Disagree,Neutral,Neutral,1hr,No,None of the above,Anxiety disorders,"Meditation, Yoga, Talk about your feelings, Tried going out for nature campaigns, Take a break from daily routine",Yes,Yes,
Female,20,B.Tech Engineering ,Graduation,Unmarried,Raigad ,Student,8-10 lakhs,No,,,,,,,,,,,,,,,,,,,
Female,25,Science,Graduation,Unmarried,Dombivali ,Employed,3-5 lakhs,Yes,"Emotional, Physical, Social",A little,A little,A lot,Moderately,A lot,A little,Agree,Neutral,Neutral,Agree,4 hrs,No,Financial worries,"Depression, Eating disorders","Meditation, Talk about your feelings, Take a break from daily routine",Yes,No,
Female,47,Arts,Post Graduation,Married,Mumbai city,Unemployed,Below 1 lakh,No,,,,,,,,,,,,,,,,,,,
Male,21,Commerce,Graduation,Unmarried,Dombivli ,Student,1-3 lakhs,Yes,Substance use (any kind of addiction),Never,Never,Never,Never,Never,Never,Neutral,Neutral,Neutral,Neutral,12hrs ,Yes,Financial worries,Alcohol use disorder,Talk about your feelings,Yes,Yes,
Male,21,Commerce,Graduation,Unmarried,Dombivli ,Student,1-3 lakhs,Yes,Substance use (any kind of addiction),Never,Never,Never,Never,Never,Never,Neutral,Neutral,Neutral,Neutral,12hrs ,Yes,Financial worries,Alcohol use disorder,Talk about your feelings,Yes,Yes,
Female,20,Science,Graduation,Unmarried,Thane,Student,1-3 lakhs,No,,,,,,,,,,,,,,,,,,,
Female,40,Science,Post Graduation,Married,Pen Ragad,Unemployed,Below 1 lakh,No,,,,,,,,,,,,,,,,,,,
Female,20,Arts,Graduation,Unmarried,Thane,Employed,10 and above,Yes,"Emotional, Social, Major life event",A little,Moderately,A lot,Moderately,Never,Never,Strongly agree,Strongly disagree,Strongly agree,Disagree,surfing chatting ,No,"Death of family member or friend, Financial worries","Depression, Anxiety disorders",Talk about your feelings,Yes,No,
Female,20,Arts,Graduation,Unmarried,Thane,Student,Below 1 lakh,Yes,Emotional,Moderately,Moderately,Moderately,A little,A lot,Moderately,Agree,Neutral,Strongly agree,Agree,Not much,No,Death of family member or friend,"Depression, Anxiety disorders, Eating disorders","Talk about your feelings, Tried going out for nature campaigns",Maybe,Yes,
Male,23,Science,Graduation,Unmarried,Pune,Employed,1-3 lakhs,No,,,,,,,,,,,,,,,,,,,
Female,44,Commerce,Graduation,Married,Solapur,Unemployed,8-10 lakhs,Yes,Emotional,Never,A little,A lot,A little,A little,Never,Disagree,Neutral,Disagree,Disagree,1/2 an hr in one day,No,None of the above,Sleeping disorder,"Meditation, Yoga, Talk about your feelings, Take a break from daily routine",Yes,No,Yoga &meditation improve any type of disorder  in long run 
Female,42,Science,Graduation,Married,Pune,Unemployed,Below 1 lakh,Yes,Emotional,A little,A little,A lot,A lot,A little,Never,Agree,Neutral,Strongly disagree,Disagree,1 hr,No,None of the above,Depression,"Yoga, Talk about your feelings, Take a break from daily routine",Yes,No,Do the things which keeps u happy
Female,43,Science,Post Graduation,Married,Mumbai city,Employed,1-3 lakhs,No,,,,,,,,,,,,,,,,,,,
Male,24,Science,Graduation,Married,Rural,Student,Below 1 lakh,Yes,"Emotional, Substance use (any kind of addiction)",Moderately,A lot,Moderately,A lot,A little,Moderately,Agree,Neutral,Strongly agree,Strongly agree,4hrs,No,Career,Depression,"Talk about your feelings, Take a break from daily routine",Maybe,No,
Female,48 years,Science,Post Graduation,Married,Rural,Employed,1-3 lakhs,No,,,,,,,,,,,,,,,,,,,
Male,49,Commerce,Graduation,Married,Bagalkot Karnataka,Employed,3-5 lakhs,No,,,,,,,,,,,,,,,,,,,
Female,42yrs,Arts,Post Graduation,Married,Pune,Unemployed,Below 1 lakh,No,,,,,,,,,,,,,,,,,,,
Male,32,Commerce,Post Graduation,Unmarried,Pune,Employed,5-8 lakhs,Yes,"Emotional, Physical, Social",A lot,Extremely,Moderately,A lot,Extremely,Extremely,Strongly agree,Neutral,Neutral,Disagree,4hrs,No,"Forced separation from family members, Death of family member or friend","Depression, Anxiety disorders, Bipolar disorders","Visited Psychologists/ consultant/ therapist, Prescribed medication by Psychiatrist, Talk about your feelings, Take a break from daily routine",Yes,Yes,
Female,23,Commerce,Post Graduation,Unmarried,Mumbai city,Student,Below 1 lakh,No,,,,,,,,,,,,,,,,,,,
Female,20,Science,HSC (12th std),Unmarried,Thane,Student,5-8 lakhs,Yes,"Emotional, Social",Moderately,Moderately,A little,Moderately,Never,A little,Agree,Agree,Agree,Agree,8 hrs,No,None of the above,Anxiety disorders,"Meditation, Yoga, Talk about your feelings, Take a break from daily routine",Yes,Yes,Its ignored ..more awareness is need to spread
Female,34,Arts,Post Graduation,Married,Solapur,Employed,Below 1 lakh,Yes,Emotional,A lot,A lot,A little,A little,A little,A lot,Neutral,Disagree,Neutral,Neutral,1 sometimes 2 hours,No,"Death of family member or friend, Financial worries, An accident or long term injury, Loss of job","Depression, Anxiety disorders",Watching motivational videos,Yes,No,Sometimes we become over conscious for unnessary things and it will affect on mental health. Maybe it's one kind of phobia
Female,21,Science,Graduation,Unmarried,Vasai Virar,Student,5-8 lakhs,Yes,Emotional,A lot,A lot,Moderately,A lot,A lot,Never,Agree,Agree,Agree,Strongly disagree,2hrs,No,None of the above,Anxiety disorders,"Talk about your feelings, Take a break from daily routine",Yes,No,
Female,33,Science,Graduation,Married,Pune,Employed,5-8 lakhs,No,,,,,,,,,,,,,,,,,,,
Female,45,None,HSC (12th std),Married,Thane,Unemployed,1-3 lakhs,No,,,,,,,,,,,,,,,,,,,
Female,24,Arts,Graduation,Married,Vasai Virar,Student,1-3 lakhs,Yes,Emotional,A little,A little,Moderately,Moderately,A little,A little,Neutral,Strongly disagree,Strongly disagree,Strongly disagree,1-2 hours ,No,"Death of family member or friend, Financial worries",Depression,"Talk about your feelings, Take a break from daily routine",Yes,Yes,Mental health is very important. Everyone should a good mental health. 
Female,20,Science,Graduation,Unmarried,Thane,Student,Below 1 lakh,Yes,Emotional,Moderately,Moderately,Extremely,Never,Never,A little,Neutral,Disagree,Strongly disagree,Disagree,2 to 4 hrs,No,"None of the above, Nil",Nil,"Meditation, Yoga, Take a break from daily routine",Yes,Yes,Healthy well being
Female,25,Science,Diploma,Unmarried,Thane,Employed,Below 1 lakh,Yes,"Emotional, Social",A little,Moderately,A little,A little,A lot,Moderately,Strongly agree,Strongly agree,Neutral,Neutral,4-5 hours,No,Emotional stress,"Depression, Anxiety disorders",Take a break from daily routine,Maybe,No,It is the most important aspect of life that should be taken care of and talked about more openly without any hesitation.
Male,32,Arts,Post Graduation,Married,Dombivli ,Employed,1-3 lakhs,No,,,,,,,,,,,,,,,,,,,
Female,20,Science,Graduation,Unmarried,Mangalore,Student,Below 1 lakh,Yes,Social,A lot,Moderately,A little,A little,A little,Moderately,Agree,Agree,Disagree,Neutral,1hr,No,None of the above,Anxiety disorders,Talk about your feelings,Maybe,No,Prioritise it than a y thing else
Male,21,Commerce,Graduation,Unmarried,Dombivli ,Student,1-3 lakhs,Yes,Substance use (any kind of addiction),Never,Never,Never,Never,Never,Never,Neutral,Neutral,Neutral,Neutral,12hrs ,Yes,Financial worries,Alcohol use disorder,Talk about your feelings,Yes,Yes,
